"","team","playoff.prob"
"1","Toronto",100
"2","New York City FC",99.99
"3","Chicago",99.98
"4","Atlanta United",99.95
"5","Columbus",97.22
"6","New York",95.23
"7","Montreal",2.67
"8","Orlando City",2.65
"9","New England",1.92
"10","Philadelphia",0.15
"11","DC United",0.01
"12","Kansas City",99.73
"13","Vancouver",99.01
"14","Seattle",98.76
"15","Portland",98.72
"16","Houston",75.94
"17","FC Dallas",71.62
"18","San Jose",41.56
"19","Salt Lake",14.97
"20","Minnesota United",0.06
"21","L.A. Galaxy",0.01
"22","Colorado",0
