"","team","1","2","3","4","5","6","7","8","9","10","11"
"1","Argentina",0,0.0137,0.9834,0.0029,0,0,0,0,0,0,NA
"2","Bolivia",0,0,0,0.0017,0.007,0.0221,0.0722,0.1669,0.4306,0.2406,0.0589
"3","Brazil",0,0.9863,0.0137,0,0,0,0,0,0,0,NA
"4","Chile",0,0,0,0.0543,0.1031,0.1949,0.348,0.2028,0.0839,0.0127,3e-04
"5","Colombia",0,0,2e-04,0.2716,0.3486,0.2345,0.0963,0.0377,0.0098,0.0013,NA
"6","Ecuador",0,0,0.0027,0.5075,0.2652,0.1482,0.0575,0.0179,0.001,0,NA
"7","Paraguay",0,0,0,0,0.0012,0.0051,0.0192,0.0752,0.2375,0.5632,0.0986
"8","Peru",0,0,0,0.0204,0.0456,0.1001,0.2117,0.3853,0.1697,0.0621,0.0051
"9","Uruguay",0,0,0,0.1416,0.2293,0.2951,0.1942,0.1071,0.0276,0.0049,2e-04
"10","Venezuela",0,0,0,0,0,0,9e-04,0.0071,0.0399,0.1152,0.8369
