,date,hteam,ateam,hfinal,afinal
1,2020-10-08,Paraguay,Peru,2,2
2,2020-10-08,Uruguay,Chile,2,1
3,2020-10-08,Argentina,Ecuador,1,0
4,2020-10-08,Colombia,Venezuela,3,0
5,2020-10-09,Brazil,Bolivia,5,0
6,2020-10-13,Bolivia,Argentina,1,2
7,2020-10-13,Ecuador,Uruguay,4,2
8,2020-10-13,Venezuela,Paraguay,0,1
9,2020-10-13,Peru,Brazil,2,4
10,2020-10-13,Chile,Colombia,2,2
11,2020-11-12,Bolivia,Ecuador,2,3
12,2020-11-12,Argentina,Paraguay,1,1
13,2020-11-13,Colombia,Uruguay,0,3
14,2020-11-13,Chile,Peru,2,0
15,2020-11-13,Brazil,Venezuela,1,0
16,2020-11-17,Ecuador,Colombia,6,1
17,2020-11-17,Venezuela,Chile,2,1
18,2020-11-17,Paraguay,Bolivia,2,2
19,2020-11-17,Uruguay,Brazil,0,2
20,2020-11-17,Peru,Argentina,0,2
21,2021-06-03,Bolivia,Venezuela,3,1
22,2021-06-03,Uruguay,Paraguay,0,0
23,2021-06-03,Argentina,Chile,1,1
24,2021-06-03,Peru,Colombia,0,3
25,2021-06-04,Brazil,Ecuador,2,0
26,2021-06-08,Ecuador,Peru,1,2
27,2021-06-08,Venezuela,Uruguay,0,0
28,2021-06-08,Colombia,Argentina,2,2
29,2021-06-08,Paraguay,Brazil,0,2
30,2021-06-08,Chile,Bolivia,1,1
31,2021-09-02,Bolivia,Colombia,1,1
32,2021-09-02,Ecuador,Paraguay,2,0
33,2021-09-02,Venezuela,Argentina,1,3
34,2021-09-02,Peru,Uruguay,1,1
35,2021-09-02,Chile,Brazil,0,1
36,2021-09-05,Ecuador,Chile,0,0
37,2021-09-05,Paraguay,Colombia,1,1
38,2021-09-05,Uruguay,Bolivia,4,2
39,2021-09-05,Peru,Venezuela,1,0
40,2021-09-09,Paraguay,Venezuela,2,1
41,2021-09-09,Uruguay,Ecuador,1,0
42,2021-09-09,Colombia,Chile,3,1
43,2021-09-09,Argentina,Bolivia,3,0
44,2021-09-09,Brazil,Peru,2,0
45,2021-10-07,Uruguay,Colombia,0,0
46,2021-10-07,Paraguay,Argentina,0,0
47,2021-10-07,Venezuela,Brazil,1,3
48,2021-10-07,Ecuador,Bolivia,3,0
49,2021-10-07,Peru,Chile,2,0
50,2021-10-10,Bolivia,Peru,1,0
51,2021-10-10,Venezuela,Ecuador,2,1
52,2021-10-10,Colombia,Brazil,0,0
53,2021-10-10,Argentina,Uruguay,3,0
54,2021-10-10,Chile,Paraguay,2,0
55,2021-10-14,Bolivia,Paraguay,4,0
56,2021-10-14,Colombia,Ecuador,0,0
57,2021-10-14,Argentina,Peru,1,0
58,2021-10-14,Chile,Venezuela,3,0
59,2021-10-14,Brazil,Uruguay,4,1
60,2021-11-11,Ecuador,Venezuela,1,0
61,2021-11-11,Paraguay,Chile,0,1
62,2021-11-11,Brazil,Colombia,1,0
63,2021-11-11,Peru,Bolivia,3,0
64,2021-11-11,Uruguay,Argentina,0,1
65,2021-11-16,Bolivia,Uruguay,3,0
66,2021-11-16,Venezuela,Peru,1,2
67,2021-11-16,Colombia,Paraguay,0,0
68,2021-11-16,Argentina,Brazil,0,0
69,2021-11-16,Chile,Ecuador,0,2
